date,Open,High,Low,Close,MACD,MACD_Signal,RSI,Upper_Band,Middle_Band,Lower_Band,EMA_25,EMA_50,EMA_100,EMA_200
2023-01-03 20:00:00+00:00,76.92,77.31,76.91,77.22,-0.448,-0.103,36.144,81.781,79.295,76.81,78.752,78.837,78.659,78.115
2023-01-03 21:00:00+00:00,77.22,77.26,77.1,77.21,-0.503,-0.183,36.08,81.835,79.189,76.543,78.633,78.773,78.631,78.106
2023-01-03 23:00:00+00:00,77.25,77.26,76.84,77.09,-0.55,-0.257,35.268,81.75,79.02,76.291,78.514,78.707,78.6,78.096
2023-01-04 00:00:00+00:00,77.08,77.22,77.04,77.14,-0.577,-0.321,35.915,81.63,78.858,76.087,78.409,78.645,78.571,78.087
2023-01-04 01:00:00+00:00,77.13,77.42,76.56,76.78,-0.62,-0.381,33.332,81.476,78.672,75.868,78.283,78.572,78.536,78.074
2023-01-04 02:00:00+00:00,76.79,77.08,76.75,76.87,-0.639,-0.432,34.599,81.282,78.494,75.707,78.175,78.506,78.503,78.062
2023-01-04 03:00:00+00:00,76.87,76.97,76.66,76.76,-0.656,-0.477,33.755,81.025,78.306,75.586,78.066,78.437,78.468,78.049
2023-01-04 04:00:00+00:00,76.75,76.8,76.62,76.67,-0.668,-0.515,33.045,80.619,78.093,75.567,77.958,78.368,78.433,78.035
2023-01-04 05:00:00+00:00,76.68,76.81,76.23,76.4,-0.692,-0.551,30.942,80.195,77.876,75.558,77.839,78.291,78.392,78.019
2023-01-04 06:00:00+00:00,76.39,76.66,76.15,76.45,-0.699,-0.58,31.807,79.756,77.677,75.599,77.732,78.218,78.354,78.003
2023-01-04 07:00:00+00:00,76.46,76.68,76.23,76.48,-0.694,-0.603,32.355,79.618,77.556,75.495,77.635,78.15,78.317,77.988
2023-01-04 08:00:00+00:00,76.47,76.47,75.15,75.53,-0.758,-0.634,25.397,79.483,77.376,75.269,77.474,78.048,78.262,77.963
2023-01-04 09:00:00+00:00,75.53,75.63,75.17,75.44,-0.807,-0.669,24.852,79.282,77.188,75.094,77.317,77.945,78.206,77.938
2023-01-04 10:00:00+00:00,75.44,75.49,74.89,74.99,-0.872,-0.709,22.277,78.988,76.963,74.939,77.138,77.829,78.142,77.909
2023-01-04 11:00:00+00:00,74.99,75.21,74.84,74.94,-0.916,-0.751,22.004,78.671,76.749,74.826,76.969,77.716,78.079,77.879
2023-01-04 12:00:00+00:00,74.94,74.95,74.26,74.36,-0.987,-0.798,19.084,78.419,76.517,74.615,76.768,77.584,78.005,77.844
2023-01-04 13:00:00+00:00,74.35,75.32,74.27,75.05,-0.977,-0.834,30.841,78.353,76.398,74.443,76.636,77.485,77.946,77.817
2023-01-04 14:00:00+00:00,75.04,75.19,73.77,74.1,-1.033,-0.874,25.375,78.267,76.206,74.144,76.441,77.352,77.87,77.78
2023-01-04 15:00:00+00:00,74.09,74.3,73.21,73.27,-1.131,-0.925,21.748,78.289,75.983,73.677,76.197,77.192,77.779,77.735
2023-01-04 16:00:00+00:00,73.27,73.93,72.89,73.49,-1.178,-0.976,24.815,78.316,75.812,73.308,75.989,77.047,77.694,77.692
2023-01-04 17:00:00+00:00,73.47,73.95,73.35,73.56,-1.196,-1.02,25.812,78.228,75.629,73.03,75.802,76.91,77.612,77.651
2023-01-04 18:00:00+00:00,73.56,73.83,73.34,73.64,-1.19,-1.054,27.003,78.081,75.45,72.82,75.636,76.782,77.534,77.611
2023-01-04 19:00:00+00:00,73.63,73.77,72.73,73.11,-1.213,-1.086,24.228,77.957,75.251,72.546,75.441,76.638,77.446,77.567
2023-01-04 20:00:00+00:00,73.12,73.22,72.97,73.18,-1.213,-1.111,25.319,77.756,75.053,72.351,75.267,76.502,77.362,77.523
2023-01-04 21:00:00+00:00,73.19,73.27,73.1,73.22,-1.195,-1.128,25.976,77.569,74.876,72.182,75.11,76.374,77.28,77.48
2023-01-04 23:00:00+00:00,73.25,73.54,73.11,73.39,-1.154,-1.133,28.838,77.305,74.701,72.098,74.978,76.257,77.203,77.44
2023-01-05 00:00:00+00:00,73.38,73.49,73.27,73.47,-1.103,-1.127,30.205,77.012,74.537,72.062,74.862,76.147,77.129,77.4
2023-01-05 01:00:00+00:00,73.47,73.8,73.38,73.75,-1.027,-1.107,34.919,76.684,74.391,72.098,74.776,76.053,77.062,77.364
2023-01-05 02:00:00+00:00,73.75,73.82,73.64,73.7,-0.961,-1.078,34.471,76.371,74.256,72.141,74.693,75.961,76.995,77.327
2023-01-05 03:00:00+00:00,73.69,73.75,73.59,73.61,-0.904,-1.043,33.635,75.988,74.114,72.24,74.61,75.869,76.928,77.29
2023-01-05 04:00:00+00:00,73.62,73.81,73.61,73.78,-0.837,-1.002,36.755,75.509,73.979,72.449,74.546,75.787,76.866,77.255
2023-01-05 05:00:00+00:00,73.76,73.93,73.58,73.92,-0.763,-0.954,39.287,75.253,73.898,72.544,74.498,75.714,76.808,77.222
2023-01-05 06:00:00+00:00,73.93,74.08,73.69,73.69,-0.715,-0.906,36.689,74.968,73.811,72.654,74.436,75.634,76.746,77.187
2023-01-05 07:00:00+00:00,73.7,73.82,73.25,73.37,-0.694,-0.864,33.381,74.766,73.73,72.694,74.354,75.546,76.679,77.149
2023-01-05 08:00:00+00:00,73.37,73.78,73.26,73.73,-0.642,-0.819,39.941,74.544,73.669,72.795,74.306,75.474,76.621,77.115
2023-01-05 09:00:00+00:00,73.74,74.92,73.61,74.71,-0.515,-0.759,53.395,74.628,73.687,72.746,74.337,75.444,76.583,77.091
2023-01-05 10:00:00+00:00,74.72,74.84,74.5,74.62,-0.417,-0.69,52.238,74.494,73.665,72.837,74.359,75.412,76.544,77.066
2023-01-05 11:00:00+00:00,74.63,74.64,74.25,74.27,-0.364,-0.625,47.89,74.523,73.674,72.825,74.352,75.367,76.499,77.039
2023-01-05 12:00:00+00:00,74.27,74.58,74.2,74.21,-0.322,-0.564,47.166,74.579,73.721,72.863,74.341,75.322,76.454,77.01
